epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3785.32,1.1941,0.58117,0.94762,0.8807,0.7554,0.83093,0.5184,1.38425,0.63497,1.04579,0.000933851,0.000933851,0.000933851
107,3821,1.1945,0.58758,0.95153,0.8011,0.803,0.82722,0.50848,1.37767,0.64908,1.05071,0.000929136,0.000929136,0.000929136
108,3856.79,1.19507,0.58554,0.94918,0.8957,0.71059,0.83637,0.51585,1.37083,0.64526,1.04142,0.00092442,0.00092442,0.00092442
109,3892.59,1.17915,0.57954,0.94821,0.86641,0.75161,0.82223,0.50735,1.37107,0.64152,1.04588,0.000919704,0.000919704,0.000919704
110,3928.39,1.17212,0.57396,0.94152,0.90883,0.72801,0.83188,0.51125,1.39666,0.63827,1.06327,0.000914989,0.000914989,0.000914989
111,3964.33,1.18481,0.58351,0.94744,0.89738,0.75701,0.82276,0.50379,1.38207,0.64126,1.05036,0.000910273,0.000910273,0.000910273
112,4000.09,1.15232,0.57043,0.93995,0.83561,0.8071,0.84361,0.52387,1.37494,0.63314,1.05477,0.000905557,0.000905557,0.000905557
113,4035.94,1.189,0.57707,0.95071,0.86826,0.782,0.84434,0.5197,1.3791,0.64832,1.0474,0.000900842,0.000900842,0.000900842
114,4071.77,1.18268,0.57594,0.94141,0.86854,0.78631,0.84525,0.51582,1.39901,0.64989,1.05751,0.000896126,0.000896126,0.000896126
115,4107.35,1.16834,0.57158,0.93806,0.83072,0.80128,0.83927,0.5365,1.37001,0.64269,1.04358,0.00089141,0.00089141,0.00089141
116,4143.09,1.16549,0.57114,0.9361,0.86728,0.7742,0.8374,0.51803,1.38991,0.66606,1.04982,0.000886694,0.000886694,0.000886694
117,4178.8,1.17056,0.57011,0.94234,0.88472,0.77826,0.84281,0.52102,1.38278,0.66483,1.05837,0.000881979,0.000881979,0.000881979
118,4215.59,1.16162,0.56802,0.94255,0.87653,0.76043,0.82378,0.49743,1.40502,0.66021,1.05733,0.000877263,0.000877263,0.000877263
119,4251.37,1.17234,0.56927,0.94325,0.92555,0.7435,0.82844,0.50122,1.40071,0.65508,1.05935,0.000872547,0.000872547,0.000872547
120,4287,1.14869,0.56136,0.93899,0.90726,0.78086,0.8398,0.51253,1.38744,0.64906,1.05401,0.000867832,0.000867832,0.000867832
121,4322.68,1.18117,0.58635,0.94554,0.91268,0.73061,0.82756,0.50839,1.38851,0.65,1.05441,0.000863116,0.000863116,0.000863116
122,4358.44,1.16165,0.57147,0.9383,0.89852,0.72649,0.83085,0.50744,1.37681,0.63985,1.05346,0.0008584,0.0008584,0.0008584
123,4394.07,1.15242,0.56326,0.93867,0.93642,0.7336,0.83528,0.51653,1.38857,0.64154,1.05943,0.000853685,0.000853685,0.000853685
124,4429.63,1.16678,0.57143,0.94225,0.90632,0.7618,0.84413,0.51589,1.39424,0.65327,1.05965,0.000848969,0.000848969,0.000848969
